id	query	planner_status	repairs	model_output	executable_plan	semantic_highest	semantic_accepted	private_results	ui_matches	notes
012	videos of dogs running	PASS	0	{"v":2,"q":"videos of dogs running","intent":"browse","ops":[["term","dogs","all"],["term","running","semantic"]]}	[semantic == running] && [keyword == {dogs}]	0.111579	8	0	3	qp_expected=fail; media_missing=fail; compound_semantic_split=fail; retrieval=nonempty
013	beach photos	PASS	0	{"v":2,"q":"beach photos","intent":"browse","ops":[["media","photos","beach"]]}	[mime type == photos]				12073	qp_expected=fail; media=pass; semantic_beach_missing=fail; malformed_extra_media_arg_accepted=warning; retrieval=overbroad
014	snow videos last year	FAIL	2	{"v":2,"q":"snow videos last year","intent":"browse","ops":[["media","videos"],["relative_date","last","1","year","last year"]]}					0	qp_expected=fail; unsupported_relative_unit_year=final; semantic_snow_missing=fail
015	photos indoors at night	PASS	0	{"v":2,"q":"photos indoors at night","intent":"browse","ops":[["media","photos"],["term","indoors","semantic"],["term","night","semantic"]]}	[mime type == photos] && [semantic == indoors] && [semantic == night]	0.112329|0.128211	34|124		0	qp_expected=fail; media=pass; compound_semantic_split=fail; intersection_zero
016	me and Ramani photos	FAIL	2	{"v":2,"q":"me and Ramani photos","intent":"browse","ops":[["media","photos"],["person","Ramani"],["person","me"]]}					0	qp_expected=fail; self_encoded_as_person=final; person=pass; media=pass
017	me only photos	PASS	0	{"v":2,"q":"me only photos","intent":"browse","ops":[["self","me"],["media","photos"]]}	[person == ravi] && [mime type == photos]				855	qp_expected=fail; self=pass; media=pass; people_only_missing=fail; retrieval=overbroad
018	me with Ramani alone	FAIL	2	{"v":2,"q":"me with Ramani alone","intent":"browse","ops":[["person","Ramani","all"],["term","alone","semantic"]]}					0	qp_expected=fail; malformed_person_extra_arg=final; self_missing=fail; people_only_missing=fail
019	Ravi without Ramani photos	FAIL	2	{"v":2,"q":"Ravi without ramani photos","intent":"browse","ops":[["person","ravi","all"],["not_term","ramani","all"],["media","photos"]]}					0	qp_expected=fail; malformed_person_extra_arg=final; not_person_wrong=fail; media=pass
020	photos without selfies	FAIL	2	{"v":2,"q":"photos without selfies","intent":"browse","ops":[["term","photos","semantic"],["not_term","selfie","all"]]}					0	qp_expected=fail; malformed_not_term_extra_arg=final; media_missing=fail; photos_wrong_semantic=fail
021	Anita photos	PASS	0	{"v":2,"q":"Anita photos","intent":"browse","ops":[["media","photos","Anita"]]}	[mime type == photos]				12073	qp_expected=fail; media=pass; unknown_name_term_missing=fail; malformed_extra_media_arg_accepted=warning; retrieval=overbroad
022	Ramani sleeping	PASS	0	{"v":2,"q":"Ramani sleeping","intent":"browse","ops":[["person","Ramani"],["term","sleeping","semantic"]]}	[person == Ramani] && [semantic == sleeping]	0.131712	45	0	45	qp_expected=pass; person=pass; semantic=pass; retrieval=nonempty
023	Ravi cycling in rain at Goa	PASS	0	{"v":2,"q":"Ravi cycling rain at Goa","intent":"browse","ops":[["person","ravi"],["term","cycling","semantic"],["term","rain","semantic"],["location","Goa"]]}	[person == ravi] && [location == Goa] && [semantic == cycling] && [semantic == rain]	0.117534|0.130763	1|79	0	0	qp_expected=fail; person=pass; location=pass; compound_semantic_split=fail; intersection_zero
024	recent birthday photos	PASS	0	{"v":2,"q":"recent birthday photos","intent":"browse","ops":[["term","birthday","semantic"],["media","photos"],["sort","newest","recent"]]}	[mime type == photos] && [semantic == birthday] SORT_DATE	0.129709	73		75	qp_expected=pass; semantic=pass; media=pass; sort=pass; retrieval=nonempty
025	latest photos from BR Hills	PASS	0	{"v":2,"q":"latest photos from BR Hills","intent":"browse","ops":[["media","photos"],["location","BR Hills"],["sort","newest","latest"]]}	[mime type == photos] && [location == BR Hills] SORT_DATE				0	qp_expected=pass; media=pass; location=pass; sort=pass; retrieval=zero
026	Ravi passport number	PASS	0	{"v":2,"q":"Ravi passport number","intent":"answer:text","ops":[["term","Ravi","all"],["term","passport","semantic+all"]]}	[semantic == passport] && [keyword == {Ravi} && {passport}]	0.155321	211	0	23	qp_expected=pass; intent=pass; person_as_content=pass; document_semantic_all=pass; retrieval=nonempty; answer_generated=true
027	expiry date	PASS	0	{"v":2,"q":"expiry date","intent":"answer:date","ops":[["term","ravi","all"],["term","passport","semantic+all"]],"prev":true}	[semantic == passport] && [keyword == {ravi} && {passport}]	0.155321	211	0	24	qp_expected=pass; followup_prev=pass; inherited_subject=pass; intent=pass; retrieval=nonempty; answer_generated=true
028	passport number	FAIL	2	{"v":2,"q":"passport number","intent":"answer:text","ops":[["term","ravi","all"],["term","passport","semantic+all"]],"prev":true}					0	qp_expected=fail; spurious_ravi=fail; spurious_prev=fail; final_validator_failure=true
029	my passport number	FAIL	2	{"v":2,"q":"my passport","intent":"answer:text","ops":[["self","meghana|jaanu|ravi|raghu|irfan|vinay|jagan|sreevats|chandu|satish|chinni|bhagavan|ramani","term","passport","number","all"]],"prev":true}					0	qp_expected=fail; malformed_merged_tuple=final; people_vocabulary_leak=fail; spurious_prev=fail; query_rewrite_dropped_number=fail
030	Ramani Aadhaar number	PASS	0	{"v":2,"q":"Ramani Aadhaar number","intent":"answer:text","ops":[["term","Ramani","all"],["term","Aadhaar","semantic+all"]]}	[semantic == Aadhaar] && [keyword == {Ramani} && {Aadhaar}]	0.113651	9	0	2	qp_expected=pass; intent=pass; person_as_content=pass; document_semantic_all=pass; retrieval=nonempty; answer_generated=true
031	driving licence number	PASS	0	{"v":2,"q":"driving licence","intent":"answer:text","ops":[["term","driving","semantic+all"],["term","licence","semantic+all"]]}	[semantic == driving] && [semantic == licence] && [keyword == {driving} && {licence}]	0.125985|0.166848	57|375	0	9	qp_expected=fail; intent=pass; compound_document_split=fail; answer_attribute_omitted=pass; retrieval=nonempty; answer_generated=true
032	electricity bill amount	REPAIRED	1	{"v":2,"q":"electricity bill amount","intent":"answer:text","ops":[["term","electricity","all"],["term","bill","all"]]}	[keyword == {electricity} && {bill}]			0	3	qp_expected=fail; intent=pass; semantic_missing=fail; compound_document_split=fail; answer_attribute_not_in_retrieval=pass; retrieval=nonempty; answer_generated=true
033	latest electricity bill	PASS	0	{"v":2,"q":"latest electricity bill","intent":"answer:text","ops":[["term","electricity","all"],["term","bill","all"],["sort","newest","latest"]]}	[keyword == {electricity} && {bill}] SORT_DATE			0	3	qp_expected=fail; intent_should_browse=fail; semantic_missing=fail; sort=pass; context_contamination_possible=true; retrieval=nonempty; answer_generated=true
034	hotel booking confirmation number	PASS	0	{"v":2,"q":"hotel booking confirmation number","intent":"answer:text","ops":[["term","hotel","semantic+all"],["term","booking","semantic+all"]]}	[semantic == hotel] && [semantic == booking] && [keyword == {hotel} && {booking}]	0.118971|0.157062	26|45	0	4	qp_expected=fail; intent=pass; compound_document_split=fail; answer_attribute_omitted=pass; retrieval=nonempty; answer_generated=true
035	flight ticket departure time	PASS	0	{"v":2,"q":"flight ticket departure time","intent":"answer:text","ops":[["term","flight","all"],["term","ticket","all"],["term","departure","semantic+all"]]}	[semantic == departure] && [keyword == {flight} && {ticket} && {departure}]	0.128492	9	0	0	qp_expected=fail; intent_answer_date_missing=fail; document_subject_wrong=fail; answer_attribute_in_retrieval=fail; retrieval=zero_after_intersection
036	receipt total from Goa trip	PASS	0	{"v":2,"q":"receipt total from Goa trip","intent":"answer:text","ops":[["term","receipt","all"],["term","total","all"],["term","Goa","all"],["term","trip","all"]]}	[keyword == {receipt} && {total} && {Goa} && {trip}]			0	0	qp_expected=fail; semantic_receipt_missing=fail; answer_attribute_total_in_retrieval=fail; trip_as_keyword=fail; Goa_grounding=partial; retrieval=zero
037	insurance policy number	PASS	0	{"v":2,"q":"insurance policy","intent":"answer:text","ops":[["term","insurance","all"],["term","policy","all"]]}	[keyword == {insurance} && {policy}]			0	5	qp_expected=fail; intent=pass; semantic_missing=fail; compound_document_split=fail; answer_attribute_omitted=pass; retrieval=nonempty; answer_generated=true
038	PAN card number	REPAIRED	1	{"v":2,"q":"PAN card","intent":"answer:text","ops":[["term","PAN","all"],["term","card","semantic+all"]]}	[semantic == card] && [keyword == {PAN} && {card}]	0.135343	207	0	19	qp_expected=fail; intent=pass; semantic_subject_wrong=fail; compound_document_split=fail; answer_attribute_omitted=pass; retrieval=nonempty; answer_generated=true
039	vaccination certificate date	PASS	0	{"v":2,"q":"vaccination certificate date","intent":"answer:date","ops":[["term","vaccination","semantic+all"],["term","certificate","semantic+all"]]}	[semantic == vaccination] && [semantic == certificate] && [keyword == {vaccination} && {certificate}]	0.109619|0.147227	3|166	0	0	qp_expected=fail; intent=pass; compound_document_split=fail; answer_attribute_omitted=pass; retrieval=zero_after_intersection
040	school fee receipt amount	PASS	0	{"v":2,"q":"school fee receipt amount","intent":"answer:text","ops":[["term","school","all"],["term","fee","all"],["term","amount","all"]]}	[keyword == {school} && {fee} && {amount}]			0	0	qp_expected=fail; receipt_subject_missing=fail; semantic_missing=fail; answer_attribute_amount_in_retrieval=fail; retrieval=zero
041	Ravi phone number	FAIL	2	{"v":2,"q":"Ravi phone number","intent":"answer:text","ops":[["person","ravi","all"],["term","phone","semantic+all"]]}					0	qp_expected=fail; person_used_for_content_name=fail; malformed_person_extra_arg=final; intent=pass
042	Ramani email address	PASS	0	{"v":2,"q":"Ramani email address","intent":"answer:text","ops":[["term","Ramani","all"],["term","email","semantic+all"]]}	[semantic == email] && [keyword == {Ramani} && {email}]	0.122840	9	0	0	qp_expected=pass; intent=pass; name_as_content=pass; email_concept=pass; retrieval=zero_after_intersection
043	who sent passport photo	PASS	0	{"v":2,"q":"who sent passport photo","intent":"answer:text","ops":[["term","who","all"],["term","passport","semantic+all"],["term","photo","semantic+all"]]}	[mime type == messages] && [semantic == message conversation] && [keyword == {who} && {passport} && {photo}]			0	0	qp_expected=fail; intent_answer_person_missing=fail; question_word_in_keywords=fail; executable_plan_diverged_from_raw=warning; spurious_message_scope=fail; retrieval=zero
044	where is my passport	FAIL	2	{"v":2,"q":"where is my passport","intent":"answer:text","ops":[["self","meghana|my|mine|mys"],["term","passport","semantic+all"]]}					0	qp_expected=fail; intent_answer_location_missing=fail; malformed_self_value=final; identity_vocabulary_leak=fail
045	when was passport scanned	PASS	0	{"v":2,"q":"when was passport scanned","intent":"answer:text","ops":[["term","passport","all"],["term","scanned","semantic+all"]]}	[semantic == scanned] && [keyword == {passport} && {scanned}]	0.147391	512	0	0	qp_expected=fail; intent_answer_date_missing=fail; document_subject_wrong=fail; scanned_overconstrained=fail; retrieval=zero_after_intersection
046	messages about cycling	REPAIRED	1	{"v":2,"q":"messages about cycling","intent":"browse","ops":[["term","messages","semantic+all"],["term","cycling","semantic+all"]]}	[mime type == messages] && [semantic == message conversation]			0	0	qp_expected=fail; source_inferred_but_raw_missing_media=fail; cycling_dropped_from_executable=fail; executable_plan_diverged_from_raw=warning; retrieval=zero
047	latest message from Ramani	FAIL	2	{"v":2,"q":"latest message from Ramani","intent":"browse","ops:[["media","messages","Ramani","latest"]]}					0	qp_expected=fail; malformed_ops_colon=final; merged_media_name_sort=fail
048	SMS containing OTP	FAIL	2	{"v":2,"q":"SMS containing OTP","intent":"browse","ops":[["media","sms","containing","OTP"]]}					0	qp_expected=fail; malformed_merged_media_content=final; OTP_term_missing=fail
049	calendar events for Christmas	FAIL	2	{"v":2,"q":"calendar events for Christmas","intent":"browse","ops":[["calendar_date","Christmas"]]}					0	qp_expected=fail; calendar_source_missing=fail; Christmas_wrong_date_operator=final
050	next calendar appointment	PASS	0	{"v":2,"q":"next calendar appointment","intent":"answer:text","ops":[["term","appointment","semantic+all"]]}	[semantic == appointment] && [keyword == {appointment}]	0.185962	19	8	19	qp_expected=fail; intent_should_browse=fail; calendar_source_missing=fail; future_constraint_missing=fail; private_top_messages=0.6989; private_calendar_only_rank5=0.6857; irrelevant_source_risk=high
051	contacts named Ravi	PASS	0	{"v":2,"q":"contacts named Ravi","intent":"answer:text","ops":[["term","Ravi","all"],["term","contacts","semantic+all"]]}	[semantic == contacts] && [keyword == {Ravi} && {contacts}]	0.142861	28	0	0	qp_expected=fail; intent_should_browse=fail; contacts_source_missing=fail; source_word_used_as_semantic=fail; retrieval=zero
052	call logs with Ramani	FAIL	2	{"v":2,"q":"call logs with Ramani","intent":"browse","ops":[["media","call_logs"],["person","Ramani"]]}					0	qp_expected=fail; source=pass; content_name_wrongly_face_person=final
053	latest call from Ravi	FAIL	2	{"v":2,"q":"latest call from Ravi","intent":"answer:text","ops":[["term","ravi","all"],["media","call_logs"]]}					0	qp_expected=fail; intent_should_browse=fail; sort_missing=fail; source=pass; final_validator_failure=true
054	PDF passport copy	PASS	0	{"v":2,"q":"passport copy","intent":"answer:text","ops":[["term","passport","all"]]}	[keyword == {passport}]			0	53	qp_expected=fail; intent_should_browse=fail; pdf_source_missing=fail; semantic_missing=fail; retrieval=overbroad
055	files about tax return	FAIL	2	{"v":2,"q":"files about tax return","intent":"browse","ops":[["term","files","all"],["term","tax","return","semantic+all"]]}					0	qp_expected=fail; files_source_missing=fail; malformed_compound_term=final
056	documents about insurance	PASS	0	{"v":2,"q":"documents about insurance","intent":"browse","ops":[["term","documents","semantic+all"],["term","insurance","semantic+all"]]}	[semantic == documents] && [semantic == insurance] && [keyword == {documents} && {insurance}]	0.122562|0.113601	76|2	0		qp_expected=fail; documents_source_missing=fail; source_word_used_as_semantic=fail; compound_semantic_split=fail; ui_count_unparsed
057	messages mentioning Goa	PASS	0	{"v":2,"q":"messages mentioning Goa","intent":"browse","ops":[["media","messages"],["location","Goa"]]}	[mime type == messages] && [semantic == message conversation]			0	0	qp_expected=fail; source=pass; Goa_dropped_from_executable=fail; gallery_location_invalid_for_messages=warning; executable_plan_diverged_from_raw=warning
058	calendar birthday events	FAIL	2	{"v":2,"q":"calendar birthday events","intent":"browse","ops":[["calendar_date","calendar_date","today|yesterday"],["term","birthday","semantic"],["term","events","semantic"]]}					0	qp_expected=fail; calendar_source_missing=fail; hallucinated_calendar_date_schema=final; event_word_wrong_semantic=fail
059	calls yesterday	FAIL	2	{"v":2,"q":"calls yesterday","intent":"browse","ops":[["media","calls"],["calendar_date","yesterday"]]}					0	qp_expected=fail; wrong_media_enum_calls=final; temporal_raw=pass
060	SMS from last 7 days	PASS	0	{"v":2,"q":"SMS from last 7 days","intent":"browse","ops":[["media","sms"],["relative_date","last","7","days","last 7 days"]]}	[mime type == messages] && [semantic == message conversation]			0	0	qp_raw_expected=pass; executable_date_dropped=fail; sms_collapsed_to_message_semantic=fail; executable_plan_diverged_from_raw=warning
061	files modified this year	PASS	0	{"v":2,"q":"files modified this year","intent":"browse","ops":[["term","files","all"],["relative_date","this","year","this year"]]}	[from_date == 2026-01-01] && [to_date == 2026-08-22] && [keyword == {files}]			0	4	qp_expected=fail; files_source_missing=fail; source_word_as_keyword=fail; temporal=pass; retrieval=nonempty_wrong_source_risk
062	latest PDF receipt	FAIL	2	{"v":2,"q":"latest PDF receipt","intent":"browse","ops":[["media","PDF","all"]]}					0	qp_expected=fail; invalid_media_case_and_extra_arg=final; receipt_missing=fail; sort_missing=fail
063	contacts with Bangalore address	PASS	0	{"v":2,"q":"contacts with Bangalore address","intent":"browse","ops":[["term","contacts","all"],["term","Bangalore","all"]]}	[keyword == {contacts} && {Bangalore}]			1	1	qp_expected=fail; contacts_source_missing=fail; address_attribute_omitted=pass; private_contact_match=1; private_top=1.2729
064	appointments at 10 am	FAIL	2	{"v":2,"q":"appointments at 0 am","intent":"answer:text","ops":[["term","appointments","all"],["clock","0","am"]]}					0	qp_expected=fail; intent_should_browse=fail; calendar_source_missing=fail; clock_value_corrupted=fail; invalid_clock_schema=final
065	messages before 2025-01-01	PASS	0	{"v":2,"q":"messages before 2020-1-101","intent":"browse","ops":[["media","messages","before"]]}	[mime type == messages] && [semantic == message conversation]			0	0	qp_expected=fail; date_literal_corrupted=fail; before_date_dropped=fail; malformed_extra_media_arg_accepted=warning; executable_plan_diverged_from_raw=warning
066	photos after 2025-01-01	FAIL	2	{"v":2,"q":"photos after 202010101","intent":"browse","ops":[["media","photos"],["relative_date","after","20200101"]]}					0	qp_expected=fail; media=pass; date_literal_corrupted=fail; invalid_relative_date_shape=final
067	files from Ravi since 2 years	PASS	0	{"v":2,"q":"files from Ravi since 2 years","intent":"browse","ops":[["media","files"],["term","Ravi","all"],["relative_date","since","2","years","since 2 years"]]}	[mime type == files] && [from_date == 2024-08-22] && [to_date == 2026-08-22] && [keyword == {Ravi}]			0	0	qp_expected=pass; source=pass; content_name=pass; temporal=pass; retrieval=zero
068	calendar events in Goa	FAIL	2	{"v":2,"q":"calendar events in Goa","intent":"browse","ops":[["location","Goa"],["calendar_date","today"]]}					0	qp_expected=fail; calendar_source_missing=fail; hallucinated_today=fail; invalid_source_location_combination=final
069	missed calls from Ramani	FAIL	2	{"v":2,"q":"missed calls from Ramani","intent":"browse","ops":[["people","Ramani","all"],["media","calls"]]}					0	qp_expected=fail; call_logs_enum_missing=fail; content_name_wrong_operator=fail; missed_condition_missing=fail; final_validator_failure=true
070	videos received in messages	FAIL	2	{"v":2,"q":"videos in messages","intent":"browse","ops":[["media","videos"],["media","messages"]]}					0	qp_expected=fail; duplicate_media_operators=final; received_relation_missing=fail
071	Ravi passport number	FAIL	2	{"v":2,"q":"Ravi passport number","intent":"answer:text","ops":[["person","Ravi","all"],["term","passport","semantic+all"]],"prev":true}					0	qp_expected=fail; content_name_wrongly_person=final; spurious_prev_from_unrelated_case=fail
072	expiry date	FAIL	2	{"v":2,"q":"expiry date","intent":"answer:date","ops":[["term","expiry","semantic+all"],["term","date","semantic+all"]],"prev":true}					0	qp_expected=fail; prev_set_but_subject_not_inherited=fail; answer_attribute_used_as_retrieval=fail; final_validator_failure=true
073	Ramani birthday photos	PASS	0	{"v":2,"q":"Ramani birthday photos","intent":"browse","ops":[["person","Ramani"],["media","photos"],["term","birthday","semantic"]]}	[person == Ramani] && [mime type == photos] && [semantic == birthday]	0.129709	40		40	qp_expected=pass; person=pass; media=pass; semantic=pass; retrieval=nonempty
074	where were these taken	PASS	0	{"v":2,"q":"where were these taken","intent":"answer:text","ops":[["term","where","all"],["term","taken","semantic+all"]]}	[keyword == {where} && {taken}]			8	8	qp_expected=fail; intent_answer_location_missing=fail; prev_missing=fail; inherited_gallery_subject_missing=fail; question_word_as_keyword=fail; private_top_messages=0.7575; irrelevant_source_risk=high
075	who else was there	FAIL	2	{"v":2,"q":"who else was there","intent":"answer:text","ops":[["term","else","all"],["term","ravi","self"]],"prev":true}					0	qp_expected=fail; intent_answer_person_missing=fail; malformed_self_mode=final; inherited_subject_missing=fail
076	photos from today	FAIL	2	{"v":2,"q":"photos from today","intent":"browse","ops":[["media","photos"],["calendar_date","today"]]}					0	qp_expected=fail; media=pass; missing_calendar_evidence_arg=final
077	photos from yesterday	FAIL	2	{"v":2,"q":"photos from yesterday","intent":"browse","ops":[["media","photos"],["calendar_date","yesterday","calendar_date"]]}					0	qp_expected=fail; media=pass; calendar_evidence_not_grounded=final
078	photos this year	FAIL	2	{"v":2,"q":"photos this year","intent":"browse","ops":[["media","photos"],["relative_date","this","year"]]}					0	qp_expected=fail; media=pass; missing_relative_date_evidence_arg=final
079	photos last 30 days	REPAIRED	1	{"v":2,"q":"photos last 30 days","intent":"browse","ops":[["media","photos"],["relative_date","last","30","years","last 30 days"]]}	[mime type == photos] && [from_date == 1996-08-22] && [to_date == 2026-08-22]				12073	qp_expected=fail; media=pass; unit_days_corrupted_to_years=fail; temporal_range_wrong_30_years; retrieval=overbroad
080	photos since 6 months	PASS	0	{"v":2,"q":"photos since 6 months","intent":"browse","ops":[["media","photos"],["relative_date","since","6","months","since 6 months"]]}	[mime type == photos] && [from_date == 2026-02-22] && [to_date == 2026-08-22]				436	qp_expected=pass; media=pass; temporal=pass; retrieval=nonempty
081	photos before 2024-01-01	FAIL	2	{"v":2,"q":"photos before 20001010","intent":"browse","ops":[["media","photos"],["relative_date","before","200001000"]]}					0	qp_expected=fail; media=pass; date_literal_corrupted=fail; invalid_absolute_relative_shape=final
082	photos after 2025-12-31	FAIL	2	{"v":2,"q":"photos after 2025-1-3","intent":"browse","ops":[["media","photos"],["relative_date","after","00513","after 02021"]]}					0	qp_expected=fail; media=pass; date_literal_corrupted=fail; invalid_absolute_relative_shape=final
083	newest videos	FAIL	2	{"v":2,"q":"newest videos","intent":"browse","ops":[["sort","newest","videos"]]}					0	qp_expected=fail; media_videos_missing=fail; sort_evidence_wrong=final
084	oldest photos	PASS	0	{"v":2,"q":"oldest photos","intent":"browse","ops":[["media","photos"],["sort","newest","oldest"]]}	[mime type == photos] SORT_DATE				12073	qp_expected=fail; media=pass; oldest_reversed_to_newest=fail; retrieval=overbroad
085	photos at 7 pm	FAIL	2	{"v":2,"q":"photos at 7 pm","intent":"browse","ops":[["media","photos"],["clock","7","pm"]]}					0	qp_expected=fail; media=pass; unsupported_clock_schema=final
086	morning photos	PASS	0	{"v":2,"q":"morning photos","intent":"browse","ops":[["media","photos"]]}	[mime type == photos]				12073	qp_expected=fail; media=pass; morning_condition_missing=fail; retrieval=overbroad
087	photos between 2025-01-01 and 2025-12-31	FAIL	2	{"v":2,"q":"photos between 2025-0-1-1 and 2225-2-3","intent":"browse","ops":[["media","photos"],["relative_date","since","0225-0-1","since 22225-0-0-1-1"],["relative_date","since","22225-2-3","2 22225-2-3"]]}					0	qp_expected=fail; media=pass; both_date_literals_corrupted=fail; closed_range_not_expressed=fail; final_validator_failure=true
088	trip to Goa	PASS	0	{"v":2,"q":"trip to Goa","intent":"browse","ops":[["travel","outside_normal","trip"],["location","Goa"]]}	[location == Goa] && [travel == outside_normal]				337	qp_expected=fail; location=pass; spurious_outside_normal_for_named_trip=fail; retrieval=nonempty
089	recent vacation	PASS	0	{"v":2,"q":"recent vacation","intent":"browse","ops":[["travel","outside_normal","vacation"],["sort","newest","recent"]]}	[travel == outside_normal] SORT_DATE				7589	qp_expected=pass; travel=pass; sort=pass; retrieval=nonempty
090	latest outing photos	PASS	0	{"v":2,"q":"latest outing photos","intent":"browse","ops":[["media","photos"],["sort","newest","latest"]]}	[mime type == photos] SORT_DATE				12073	qp_expected=fail; media=pass; sort=pass; travel_or_episode_missing=fail; retrieval=overbroad
091	cyclcing in raain	FAIL	2	{"v":2,"q":"cycling in rain","intent":"browse","ops":[["term","cycling in rain","semantic+all"]]}					0	qp_expected=fail; typo_correction=pass; wrong_semantic_mode_for_browse=final
092	Ramani birhtday fotos since 2 mnths	FAIL	2	{"v":2,"q":"Ramani birhtay fotos since 2 mnths","intent":"browse","ops":[["term","Ramani","all"],["term","birthday","semantic"],["media","photos"],["relative_date","since","2","months","since 2 months"]]}					0	qp_expected=fail; typo_event_media_date_corrected=partial; known_person_wrongly_content_term=final
093	Ravi passprot numbr	FAIL	2	{"v":2,"q":"ravi pass num br","intent":"answer:text","ops":[["term","ravi","all"],["term","pass","semantic+all"],["term","br","location"]]}					0	qp_expected=fail; passport_typo_not_corrected=fail; spurious_location_br=fail; final_validator_failure=true
094	reciept total ammount	PASS	0	{"v":2,"q":"reciept total ammount","intent":"answer:text","ops":[["term","reciept","all"],["term","total","semantic+all"]]}	[semantic == total] && [keyword == {reciept} && {total}]	0.129228	6	0	0	qp_expected=fail; receipt_typo_not_corrected=fail; semantic_subject_wrong=fail; answer_attribute_in_retrieval=fail; retrieval=zero
095	calender evnts tomorrow	FAIL	2	{"v":2,"q":"calendar events tomorrow","intent":"browse","ops":[["calendar_date","tomorrow","calendar_date"]]}					0	qp_expected=fail; typo_words_corrected=pass; calendar_source_missing=fail; unsupported_tomorrow_date_shape=final
096	messges from Ramani yesterdy	FAIL	2	{"v":2,"q":"messages from Ramani yesterday","intent":"browse","ops":[["media","messages"],["relative_date","yesterday","day"]],"prev":true}					0	qp_expected=fail; typo_words_corrected=pass; content_name_missing=fail; invalid_relative_date_shape=final; spurious_prev=fail
097	my fotos at BR Hils	FAIL	2	{"v":2,"q":"my fotos at BRils","intent":"browse","ops":[["self","meghana","meghana","amma","jaanu","ravi","raghu","irfan","vinay","jagan","sreevatsa","chandu","satish","chinni","bhagavan","ramani","meghana","photos","location","BR Hills"]]}					0	qp_expected=fail; people_vocabulary_leak=fail; malformed_merged_tuple=final; self_media_location_not_recovered
