id	family	query	expected	planner_status	repairs	raw_e2b_output	first_invalid_output	accepted_summary	executable_plan
011	media_scene	videos of dancing	browse; media videos; semantic dancing	ACCEPTED	0	"{""v"":2,""q"":""videos of dancing"",""intent"":""browse"",""ops"":[[""term"",""dancing"",""semantic""],[""media"",""videos""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == videos] && [semantic == dancing]	[mime type == videos] && [semantic == dancing]
012	media_scene	photos of swimming	browse; media photos; semantic swimming	ACCEPTED	0	"{""v"":2,""q"":""photos of swimming"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""swimming"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == swimming]	[mime type == photos] && [semantic == swimming]
013	media_scene	videos of fireworks at night	browse; media videos; one semantic fireworks at night	ACCEPTED	0	"{""v"":2,""q"":""videos of fireworks at night"",""intent"":""browse"",""ops"":[[""term"",""videos"",""semantic+all""],[""term"",""fireworks"",""semantic""],[""daypart"",""night""]]}"		category=scenary, semantic=3, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == videos] && [semantic == fireworks] && [semantic == night] && [keyword == {videos}]	[semantic == videos] && [semantic == fireworks] && [semantic == night] && [keyword == {videos}]
014	media_scene	selfies at the beach	browse; media photos; semantic selfie and beach; no self face	ACCEPTED	0	"{""v"":2,""q"":""selfies at the beach"",""intent"":""browse"",""ops"":[[""self""],[""media"",""photos""],[""location"",""beach""]]}"		category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ravi] && [mime type == photos] && [location == beach]	[person == ravi] && [mime type == photos] && [location == beach]
015	media_scene	portrait photos	browse; media photos; semantic portrait	ACCEPTED	0	"{""v"":2,""q"":""portrait photos"",""intent"":""browse"",""ops"":[[""media"",""photos""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos]	[mime type == photos]
016	media_ocr	screenshots with error message	browse; media photos; screenshot error message content preserved	VALIDATOR_FAILED	1	"{""v"":2,""q"":""screenshots with error message"",""intent"":""browse"",""ops"":[[""media"",""screenshots""],[""term"",""error"",""semantic+all""]]}"	"{""v"":2,""q"":""screenshots with error message"",""intent"":""browse"",""ops"":[[""media"",""screenshots""],[""term"",""error"",""semantic+all""]]}"		
017	media_ocr	photos of receipts	browse; media photos; receipt content preserved	ACCEPTED	0	"{""v"":2,""q"":""photos of receipts"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""receipts"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == receipts] && [keyword == {receipts}]	[mime type == photos] && [semantic == receipts] && [keyword == {receipts}]
018	media_ocr	pictures of movie tickets	browse; media photos; movie ticket content preserved	ACCEPTED	0	"{""v"":2,""q"":""pictures of movie tickets"",""intent"":""browse"",""ops"":[[""term"",""movie tickets"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == movie tickets] && [keyword == {movie} && {tickets}]	[semantic == movie tickets] && [keyword == {movie} && {tickets}]
019	media_scene	documents photographed on table	browse; photo scope; document on table content preserved	ACCEPTED	0	"{""v"":2,""q"":""documents photographed on table"",""intent"":""browse"",""ops"":[[""term"",""documents"",""semantic+all""],[""term"",""table"",""semantic+all""]]}"		category=scenary, semantic=2, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == documents] && [semantic == table] && [keyword == {documents} && {table}]	[semantic == documents] && [semantic == table] && [keyword == {documents} && {table}]
020	media_scene	blurry photos	browse; media photos; semantic blurry	ACCEPTED	0	"{""v"":2,""q"":""blurry photos"",""intent"":""browse"",""ops"":[[""media"",""photos""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos]	[mime type == photos]
021	people	Ramani photos	browse; person Ramani; media photos	VALIDATOR_FAILED	1	"{""v"":2,""q"":""Ramani photos"",""intent"":""browse"",""ops"":[[""person_face_ref"",""F1""]]}<tool_call|>"	"{""v"":2,""q"":""Ramani photos"",""intent"":""browse"",""ops"":[[""person_face_ref"",""F1""]]}<tool_call|>"		
022	people	Ravi and Ramani together	browse; people Ravi and Ramani	ACCEPTED	0	"{""v"":2,""q"":""Ravi and ramani together"",""intent"":""answer:person"",""ops"":[[""person_ref"",""F4""],[""person_ref"",""F12""]]}"		category=person, semantic=0, people=2, excludedPeople=0, negative=0, recent=false, evidence=metadata, metadataFields=people, ops=[person == ravi] && [person == chinni]	[person == ravi] && [person == chinni]
023	people	photos of me	browse; self; media photos	ACCEPTED	0	"{""v"":2,""q"":""photos of me"",""intent"":""browse"",""ops"":[[""self""],[""media"",""photos""]]}"		category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi] && [mime type == photos]	[person == ravi] && [mime type == photos]
024	people	me only	browse; self; people_only	ACCEPTED	0	"{""v"":2,""q"":""me only"",""intent"":""browse"",""ops"":[[""self""]]}"		category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi]	[person == ravi]
025	people	Ramani only	browse; person Ramani; people_only	ACCEPTED	0	"{""v"":2,""q"":""Ramani"",""intent"":""answer:person"",""ops"":[[""person_ref"",""F12""]]}"		category=person, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata, metadataFields=people, ops=[person == chinni]	[person == chinni]
026	people	me with Ramani alone	browse; self; person Ramani; people_only	VALIDATOR_FAILED	1	"{""v"":2,""q"":""me with Ramani alone"",""intent"":""browse"",""ops"":[[""self_term"",""me"",""all""],[""person_term"",""Ramani"",""all""]]}"	"{""v"":2,""q"":""me with Ramani alone"",""intent"":""browse"",""ops"":[[""self_term"",""me"",""all""],[""person_term"",""Ramani"",""all""]]}"		
027	people	Ramani dancing	browse; person Ramani; semantic dancing	ACCEPTED	0	"{""v"":2,""q"":""Ramani dancing"",""intent"":""browse"",""ops"":[[""person_ref"",""F12""],[""term"",""dancing"",""semantic""],[""media"",""photos""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == chinni] && [mime type == photos] && [semantic == dancing]	[person == chinni] && [mime type == photos] && [semantic == dancing]
028	people	Ravi cycling in rain	browse; person Ravi; one semantic cycling in rain	ACCEPTED	0	"{""v"":2,""q"":""Ravi cycling in rain"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""term"",""cycling in rain"",""semantic""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi] && [semantic == cycling in rain]	[person == ravi] && [semantic == cycling in rain]
029	people	photos of Ramani without Ravi	browse; person Ramani; not_person Ravi; media photos	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos of Ramani without Ravi"",""intent"":""browse"",""ops"":[[""term"",""Ramani"",""all""],[""not_term"",""Ravi"",""all""],[""media"",""photos""]]}"	"{""v"":2,""q"":""photos of Ramani without Ravi"",""intent"":""browse"",""ops"":[[""term"",""Ramani"",""all""],[""not_term"",""Ravi"",""all""],[""media"",""photos""]]}"		
030	people	family photos without me	browse; semantic family; not self; media photos	VALIDATOR_FAILED	1	"{""v"":2,""q"":""family photos without me"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""not_term"",""me""]]}"	"{""v"":2,""q"":""family photos without me"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""not_term"",""me""]]}"		
031	location	photos in Goa	browse; media photos; location Goa	ACCEPTED	0	"{""v"":2,""q"":""photos in Goa"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Goa""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Goa]	[mime type == photos] && [location == Goa]
032	location	pictures taken at BR Hills	browse; media photos; location BR Hills	ACCEPTED	0	"{""v"":2,""q"":""pictures taken at BR Hills"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""BR Hills""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == BR Hills]	[mime type == photos] && [location == BR Hills]
033	location	videos from Bangalore	browse; media videos; location Bangalore	ACCEPTED	0	"{""v"":2,""q"":""videos from Bangalore"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""location"",""Bangalore""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == videos] && [location == Bangalore]	[mime type == videos] && [location == Bangalore]
034	location	beach photos in Chennai	browse; media photos; semantic beach; location Chennai	VALIDATOR_FAILED	1	"{""v"":2,""q"":""beach photos in Chennai"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Chennai""],[""not_term"",""beach""]]}"	"{""v"":2,""q"":""beach photos in Chennai"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Chennai""],[""not_term"",""beach""]]}"		
035	location	Ravi photos at Goa	browse; person Ravi; media photos; location Goa	ACCEPTED	0	"{""v"":2,""q"":""Ravi photos at Goa"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""term"",""photos"",""semantic+all""],[""location"",""Goa""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ravi] && [location == Goa] && [semantic == photos] && [keyword == {photos}]	[person == ravi] && [location == Goa] && [semantic == photos] && [keyword == {photos}]
036	location	Ramani dancing in Mysore	browse; person Ramani; semantic dancing; location Mysore	ACCEPTED	0	"{""v"":2,""q"":""Ramani dancing in Mysore"",""intent"":""browse"",""ops"":[[""person_ref"",""F12""],[""term"",""dancing"",""semantic""],[""location"",""Mysore""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == chinni] && [location == Mysore] && [semantic == dancing]	[person == chinni] && [location == Mysore] && [semantic == dancing]
037	location	sunsets from Kerala	browse; semantic sunset; location Kerala	ACCEPTED	0	"{""v"":2,""q"":""sunsets from Kerala"",""intent"":""browse"",""ops"":[[""location"",""Kerala""],[""term"",""sunsets"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[location == Kerala] && [semantic == sunsets]	[location == Kerala] && [semantic == sunsets]
038	location	photos near Eiffel Tower	browse; media photos; location Eiffel Tower	ACCEPTED	0	"{""v"":2,""q"":""photos near Eiffel Tower"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Eiffel Tower""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Eiffel Tower]	[mime type == photos] && [location == Eiffel Tower]
039	location	trip to Ooty	browse; location Ooty; no travel outside_normal	ACCEPTED	0	"{""v"":2,""q"":""trip to Ooty"",""intent"":""browse"",""ops"":[[""travel"",""outside_normal""],[""location"",""Ooty""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[location == Ooty] && [travel == outside_normal]	[location == Ooty] && [travel == outside_normal]
040	travel	vacation photos	browse; travel outside_normal; media photos	ACCEPTED	0	"{""v"":2,""q"":""vacation photos"",""intent"":""browse"",""ops"":[[""media"",""photos""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos]	[mime type == photos]
041	time	photos from today	browse; media photos; calendar today	ACCEPTED	0	"{""v"":2,""q"":""photos from today"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""calendar_date"",""today""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == photos] && [from_date == 2026-08-24] && [to_date == 2026-08-24]	[mime type == photos] && [from_date == 2026-08-24] && [to_date == 2026-08-24]
042	time	yesterday videos	browse; media videos; calendar yesterday	ACCEPTED	0	"{""v"":2,""q"":""yesterday videos"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""calendar_date"",""yesterday""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == videos] && [from_date == 2026-08-23] && [to_date == 2026-08-23]	[mime type == videos] && [from_date == 2026-08-23] && [to_date == 2026-08-23]
043	time	photos this week	browse; media photos; calendar period this week	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos this week"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""calendar_calendar_period"",""this_week""]]}"	"{""v"":2,""q"":""photos this week"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""calendar_calendar_period"",""this_week""]]}"		
044	time	pictures last month	browse; media photos; calendar period last month	VALIDATOR_FAILED	1	"{""v"":2,""q"":""pictures last month"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""last"",""month""]]}"	"{""v"":2,""q"":""pictures last month"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""last"",""month""]]}"		
045	time	videos this year	browse; media videos; relative this year	ACCEPTED	0	"{""v"":2,""q"":""videos this year"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""relative_date"",""this_year""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == videos] && [from_date == 2026-01-01] && [to_date == 2026-08-24]	[mime type == videos] && [from_date == 2026-01-01] && [to_date == 2026-08-24]
046	time	photos last 3 years	browse; media photos; relative last 3 years	ACCEPTED	0	"{""v"":2,""q"":""photos last 3 years"",""intent"":""browse"",""ops"":[[""self""],[""media"",""photos""],[""relative_date"",""last"",""N0"",""years""]]}"		category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,time, ops=[person == ravi] && [mime type == photos] && [from_date == 2023-08-24] && [to_date == 2026-08-24]	[person == ravi] && [mime type == photos] && [from_date == 2023-08-24] && [to_date == 2026-08-24]
047	time	beach photos past 2 months	browse; media photos; semantic beach; relative past 2 months	VALIDATOR_FAILED	1	"{""v"":2,""q"":""beach photos past 2 months"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""beach""],[""relative_date"",""last"",""2"",""months""]]}"	"{""v"":2,""q"":""beach photos past 2 months"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""beach""],[""relative_date"",""last"",""2"",""months""]]}"		
048	time	photos since 2024	browse; media photos; date since 2024	VALIDATOR_FAILED	1	```json	"```json {""v"":2,""q"":""photos since 20204"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""since"",""20004""]]} ```"		
049	time	photos before January 2025	browse; media photos; date before January 2025	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos before January 20"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""before"",""January2020""]]}"	"{""v"":2,""q"":""photos before January 20"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""before"",""January2020""]]}"		
050	time	photos after 15 August 2023	browse; media photos; date after 15 August 2023	VALIDATOR_FAILED	1	```json	"```json {""v"":2,""q"":""photos after 5 August 203"",""intent"":""browse"",""ops"":[{""relative_date"",""after"",""D#"",""203""}]} ```"		
051	time	photos between January 2024 and March 2024	browse; media photos; bounded date range	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos between January 204 and March 2024"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""between"",""January 204"",""March 204""]]}"	"{""v"":2,""q"":""photos between January 204 and March 2024"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""between"",""January 204"",""March 204""]]}"		
052	time	morning photos	browse; media photos; daypart morning	ACCEPTED	0	"{""v"":2,""q"":""morning photos"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""daypart"",""morning""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == morning]	[mime type == photos] && [semantic == morning]
053	time	night videos	browse; media videos; daypart night	ACCEPTED	0	"{""v"":2,""q"":""night videos"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""daypart"",""night""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == videos] && [semantic == night]	[mime type == videos] && [semantic == night]
054	sort	oldest sunset photo	browse; media photos; semantic sunset; sort oldest	ACCEPTED	0	"{""v"":2,""q"":""oldest sunset photo"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""sort"",""oldest""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] SORT_OLDEST	[mime type == photos] SORT_OLDEST
055	sort	latest vacation pictures	browse; media photos; travel outside_normal; sort newest	ACCEPTED	0	"{""v"":2,""q"":""latest vacation"",""intent"":""browse"",""ops"":[[""travel"",""outside_normal""],[""sort"",""newest""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=true, evidence=metadata+visual, metadataFields=location, ops=[travel == outside_normal] SORT_DATE	[travel == outside_normal] SORT_DATE
056	combined	Ramani beach photos last month	browse; person Ramani; semantic beach; media photos; last month	VALIDATOR_FAILED	1	"{""v"":2,""q"":""Ramani beach photos last month"",""intent"":""browse"",""ops"":[[""person_ref"",""F1""],[""term"",""beach"",""semantic""],[""relative_date"",""last"",""months""]]}"	"{""v"":2,""q"":""Ramani beach photos last month"",""intent"":""browse"",""ops"":[[""person_ref"",""F1""],[""term"",""beach"",""semantic""],[""relative_date"",""last"",""months""]]}"		
057	combined	me cycling in rain this year	browse; self; one semantic cycling in rain; this year	ACCEPTED	0	"{""v"":2,""q"":""me cycling in rain this year"",""intent"":""browse"",""ops"":[[""term"",""cycling in rain"",""semantic""],[""relative_date"",""this_year""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[from_date == 2026-01-01] && [to_date == 2026-08-24] && [semantic == cycling in rain]	[from_date == 2026-01-01] && [to_date == 2026-08-24] && [semantic == cycling in rain]
058	combined	videos of Ravi dancing at Goa	browse; media videos; person Ravi; semantic dancing; location Goa	ACCEPTED	0	"{""v"":2,""q"":""videos of Ravi dancing at Goa"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""term"",""dancing"",""semantic""],[""location"",""Goa""],[""media"",""videos""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ravi] && [mime type == videos] && [location == Goa] && [semantic == dancing]	[person == ravi] && [mime type == videos] && [location == Goa] && [semantic == dancing]
059	combined	Ramani only photos in Ooty last year	browse; person Ramani; people_only; media photos; location Ooty; last year	VALIDATOR_FAILED	1	```json	"```json { ""v"":2, ""q"":""Ramani only photos in Ooty last year"",""intent"":""browse"",""ops"":[ [""person_ref"",""F114""], [""term"",""Ramani"",""all""], [""location"",""Ooty""], [""relative_date"",""last"",""1"",""year""] ] } ```"		
060	combined	photos of me and Ramani at BR Hills	browse; self; person Ramani; media photos; location BR Hills	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos of me and Ramani at BR Hills"",""intent"":""browse"",""ops"":[[""self""],[""term"",""Ramani"",""all""],[""term"",""BR Hills"",""location""]]}"	"{""v"":2,""q"":""photos of me and Ramani at BR Hills"",""intent"":""browse"",""ops"":[[""self""],[""term"",""Ramani"",""all""],[""term"",""BR Hills"",""location""]]}"		
061	combined	sunset videos from Goa after 2023	browse; semantic sunset; media videos; location Goa; date after 2023	VALIDATOR_FAILED	1	"{""v"":2,""q"":""sunset videos from Goa after 2023"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""location"",""Goa""],[""date_ref"",""after"",""20203""]]}"	"{""v"":2,""q"":""sunset videos from Goa after 2023"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""location"",""Goa""],[""date_ref"",""after"",""20203""]]}"		
062	combined	birthday photos from Bangalore excluding cake	browse; semantic birthday; media photos; location Bangalore; not_term cake	VALIDATOR_FAILED	1	"{""v"":2,""q"":""birthday photos from Bangalore excluding cake"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Bangalore""],[""not_term"",""cake""]]}"	"{""v"":2,""q"":""birthday photos from Bangalore excluding cake"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Bangalore""],[""not_term"",""cake""]]}"		
063	combined	photos at Goa excluding beach	browse; media photos; location Goa; not_term beach	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos at Goa excluding beach"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Goa""],[""not_term"",""beach""]]}"	"{""v"":2,""q"":""photos at Goa excluding beach"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Goa""],[""not_term"",""beach""]]}"		
064	combined	family trip videos past 6 months	browse; family content; travel outside_normal; media videos; past 6 months	VALIDATOR_FAILED	1	```json	"```json { ""v"":2"", ""q"": ""family trip videos past6 months"", ""intent"":\""browse\"""", ""ops"": [ [ ""travel"", ""outside_normal"", ], [ ""media"", ""videos""photos"" ], [ ""relative_date"", ""last"", ""6""months"" ] ] } ```"		
065	combined	latest photos of Ramani	browse; media photos; person Ramani; sort newest	ACCEPTED	0	"{""v"":2,""q"":""latest photos of Ramani"",""intent"":""browse"",""ops"":[[""person_ref"",""F12""],[""media"",""photos""],[""sort"",""newest""]]}"		category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=true, evidence=metadata+visual, metadataFields=people, ops=[person == chinni] && [mime type == photos] SORT_DATE	[person == chinni] && [mime type == photos] SORT_DATE
066	combined	oldest videos from Kerala	browse; media videos; location Kerala; sort oldest	ACCEPTED	0	"{""v"":2,""q"":""oldestest videos from Kerala"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""sort"",""oldest""],[""location"",""Kerala""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == videos] && [location == Kerala] SORT_OLDEST	[mime type == videos] && [location == Kerala] SORT_OLDEST
067	combined	red car photos before 2025	browse; semantic red car; media photos; date before 2025	VALIDATOR_FAILED	1	"{""v"":2,""q"":""red car photos before 2025"",""intent"":""browse"",""ops"":[[""term"",""red car"",""semantic""],[""relative_date"",""before"",""2025""]]}"	"{""v"":2,""q"":""red car photos before 2025"",""intent"":""browse"",""ops"":[[""term"",""red car"",""semantic""],[""relative_date"",""before"",""2025""]]}"		
068	combined	dogs running on beach this week	browse; semantic dogs running on beach; this week	VALIDATOR_FAILED	1	"{""v"":2,""q"":""dogs running on beach this week"",""intent"":""browse"",""ops"":[[""term"",""dogs running"",""semantic+all""],[""term"",""beach"",""semantic""],[""relative_date"",""this_week""]]}"	"{""v"":2,""q"":""dogs running on beach this week"",""intent"":""browse"",""ops"":[[""term"",""dogs running"",""semantic+all""],[""term"",""beach"",""semantic""],[""relative_date"",""this_week""]]}"		
