id	family	query	expected	attempts	planner_status	repairs	raw_e2b_output	first_invalid_output	accepted_summary	executable_plan
012	media_scene	photos of swimming	browse; media photos; semantic swimming	1	ACCEPTED	0	"{""v"":2,""q"":""photos of swimming"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""swimming"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == swimming]	[mime type == photos] && [semantic == swimming]
013	media_scene	videos of fireworks at night	browse; media videos; one semantic fireworks at night	1	ACCEPTED	1		"{""v"":2,""q"":""videos of fireworks at night"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""term"",""fireworks"",""semantic""],[""daypart"",""night""]]}"	category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == videos] && [semantic == night]	[mime type == videos] && [semantic == night]
014	media_scene	selfies at the beach	browse; media photos; semantic selfie and beach; no self face	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""selfies at the beach"",""intent"":""browse"",""ops"":[[""self"",""term"",""selfies""],[""location"",""beach"",""semantic""]]}"		
015	media_scene	portrait photos	browse; media photos; semantic portrait	1	VALIDATOR_FAILED	0				
016	media_ocr	screenshots with error message	browse; media photos; screenshot error message content preserved	1	ACCEPTED	0	"{""v"":2,""q"":""screenshots with error message"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""error message"",""all""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [keyword == {error} && {message}]	[mime type == photos] && [keyword == {error} && {message}]
017	media_ocr	photos of receipts	browse; media photos; receipt content preserved	2	ACCEPTED	0	"{""v"":2,""q"":""photos of receipts"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""receipts"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == receipts] && [keyword == {receipts}]	[mime type == photos] && [semantic == receipts] && [keyword == {receipts}]
018	media_ocr	pictures of movie tickets	browse; media photos; movie ticket content preserved	1	ACCEPTED	1		"{""v"":2,""q"":""pictures of movie tickets"",""intent"":""browse"",""ops"":[[""term"",""pictures of movie"",""semantic+all""]]}"	category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == movie tickets]	[mime type == photos] && [semantic == movie tickets]
019	media_scene	documents photographed on table	browse; photo scope; document on table content preserved	1	ACCEPTED	0			category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == documents] && [keyword == {documents}]	[mime type == photos] && [semantic == documents] && [keyword == {documents}]
020	media_scene	blurry photos	browse; media photos; semantic blurry	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos]	[mime type == photos]
021	people	Ramani photos	browse; person Ramani; media photos	1	VALIDATOR_FAILED	0				
022	people	Ravi and Ramani together	browse; people Ravi and Ramani	1	ACCEPTED	0	"{""v"":2,""q"":""Ravi and Ramani together"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""person_ref"",""F14""]]}"		category=scenary, semantic=0, people=2, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi] && [person == ramani]	[person == ravi] && [person == ramani]
023	people	photos of me	browse; self; media photos	2	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos of meghana"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""person_ref"",""F1""]]}"		
024	people	me only	browse; self; people_only	1	ACCEPTED	0			category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi]	[person == ravi]
025	people	Ramani only	browse; person Ramani; people_only	1	VALIDATOR_FAILED	0				
026	people	me with Ramani alone	browse; self; person Ramani; people_only	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""me with Ramani alone"",""intent"":""browse"",""ops"":[[""self"",""person_ref"",""F1""],[""people_only""]]}"	"{""v"":2,""q"":""me with Ramani alone"",""intent"":""browse"",""ops"":[[""self"",""person_ref"",""F1""],[""people_only""]]}"		
027	people	Ramani dancing	browse; person Ramani; semantic dancing	1	ACCEPTED	0	"{""v"":2,""q"":""Ramani dancing"",""intent"":""browse"",""ops"":[[""person_ref"",""F14""],[""media"",""photos""],[""term"",""dancing"",""semantic""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ramani] && [mime type == photos] && [semantic == dancing]	[person == ramani] && [mime type == photos] && [semantic == dancing]
028	people	Ravi cycling in rain	browse; person Ravi; one semantic cycling in rain	1	ACCEPTED	0	"{""v"":2,""q"":""Ravi cycling in rain"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""term"",""cycling in rain"",""semantic""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people, ops=[person == ravi] && [semantic == cycling in rain]	[person == ravi] && [semantic == cycling in rain]
029	people	photos of Ramani without Ravi	browse; person Ramani; not_person Ravi; media photos	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos of Ramani without Ravi"",""intent"":""browse"",""ops"":[[""person_ref"",""F1""],[""not_person_ref"",""F4""],[""media"",""photos""]]}"		
030	people	family photos without me	browse; semantic family; not self; media photos	2	VALIDATOR_FAILED	0				
031	location	photos in Goa	browse; media photos; location Goa	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Goa]	[mime type == photos] && [location == Goa]
032	location	pictures taken at BR Hills	browse; media photos; location BR Hills	1	VALIDATOR_FAILED	0				
033	location	videos from Bangalore	browse; media videos; location Bangalore	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == videos] && [location == Bangalore]	[mime type == videos] && [location == Bangalore]
034	location	beach photos in Chennai	browse; media photos; semantic beach; location Chennai	2	ACCEPTED	0	"{""v"":2,""q"":""beach photos in Chennai"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Chennai""],[""term"",""beach"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Chennai] && [semantic == beach]	[mime type == photos] && [location == Chennai] && [semantic == beach]
035	location	Ravi photos at Goa	browse; person Ravi; media photos; location Goa	1	ACCEPTED	0			category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ravi] && [mime type == photos] && [location == Goa]	[person == ravi] && [mime type == photos] && [location == Goa]
036	location	Ramani dancing in Mysore	browse; person Ramani; semantic dancing; location Mysore	1	VALIDATOR_FAILED	0				
037	location	sunsets from Kerala	browse; semantic sunset; location Kerala	1	ACCEPTED	0	"{""v"":2,""q"":""sunsets from Kerala"",""intent"":""browse"",""ops"":[[""location"",""Kerala""],[""term"",""sunsets"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[location == Kerala] && [semantic == sunsets]	[location == Kerala] && [semantic == sunsets]
038	location	photos near Eiffel Tower	browse; media photos; location Eiffel Tower	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Eiffel Tower]	[mime type == photos] && [location == Eiffel Tower]
039	location	trip to Ooty	browse; location Ooty; no travel outside_normal	1	VALIDATOR_FAILED	0				
040	travel	vacation photos	browse; travel outside_normal; media photos	1	ACCEPTED	0	"{""v"":2,""q"":""vacation photos"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""travel"",""outside_normal""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [travel == outside_normal]	[mime type == photos] && [travel == outside_normal]
041	time	photos from today	browse; media photos; calendar today	2	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == photos] && [from_date == 2026-08-25] && [to_date == 2026-08-25]	[mime type == photos] && [from_date == 2026-08-25] && [to_date == 2026-08-25]
042	time	yesterday videos	browse; media videos; calendar yesterday	1	ACCEPTED	1		"{""v"":2,""q"":""yesterday videos"",""intent"":""browse"",""ops"":[[""calendar_date"",""yesterdayday""],[""media"",""videos""]]}"	category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == videos] && [from_date == 2026-08-24] && [to_date == 2026-08-24]	[mime type == videos] && [from_date == 2026-08-24] && [to_date == 2026-08-24]
043	time	photos this week	browse; media photos; calendar period this week	1	VALIDATOR_FAILED	0				
044	time	pictures last month	browse; media photos; calendar period last month	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""pictures last month"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""last"",""month""]]}"	"{""v"":2,""q"":""pictures last month"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""last"",""month""]]}"		
045	time	videos this year	browse; media videos; relative this year	2	VALIDATOR_FAILED	0				
046	time	photos last 3 years	browse; media photos; relative last 3 years	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos last 3 years"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""last"",""3"",""years""]]}"		
047	time	beach photos past 2 months	browse; media photos; semantic beach; relative past 2 months	1	VALIDATOR_FAILED	0				
048	time	photos since 2024	browse; media photos; date since 2024	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos since 20204"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""since"",""2024""]]}"	"{""v"":2,""q"":""photos since 20204"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""relative_date"",""since"",""2024""]]}"		
049	time	photos before January 2025	browse; media photos; date before January 2025	2	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos before January 20"",""intent"":""browse"",""ops"":[[""relative_date"",""before"",""January"",""2025""]]}<tool_call|>"		
050	time	photos after 15 August 2023	browse; media photos; date after 15 August 2023	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos after 5 August 20203"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""date_ref"",""after"",""20000805""]]}"		
051	time	photos between January 2024 and March 2024	browse; media photos; bounded date range	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""photos between January 202 and March204"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""date_between"",""January20202"",""March204""]]}"		
052	time	morning photos	browse; media photos; daypart morning	1	VALIDATOR_FAILED	0				
053	time	night videos	browse; media videos; daypart night	1	ACCEPTED	0	"{""v"":2,""q"":""night videos"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""daypart"",""night""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == videos] && [semantic == night]	[mime type == videos] && [semantic == night]
054	sort	oldest sunset photo	browse; media photos; semantic sunset; sort oldest	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] SORT_OLDEST	[mime type == photos] SORT_OLDEST
055	sort	latest vacation pictures	browse; media photos; travel outside_normal; sort newest	1	ACCEPTED	0	"{""v"":2,""q"":""latest vacation pictures"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""travel"",""outside_normal""],[""sort"",""newest""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=true, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [travel == outside_normal] SORT_DATE	[mime type == photos] && [travel == outside_normal] SORT_DATE
056	combined	Ramani beach photos last month	browse; person Ramani; semantic beach; media photos; last month	1	VALIDATOR_FAILED	0				
057	combined	me cycling in rain this year	browse; self; one semantic cycling in rain; this year	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""me cycling in rain this year"",""intent"":""browse"",""ops"":[[""term"",""cycling in rain"",""semantic""],[""relative_date_date"",""this_year""]]}"	"{""v"":2,""q"":""me cycling in rain this year"",""intent"":""browse"",""ops"":[[""term"",""cycling in rain"",""semantic""],[""relative_date_date"",""this_year""]]}"		
058	combined	videos of Ravi dancing at Goa	browse; media videos; person Ravi; semantic dancing; location Goa	3	ACCEPTED	0	"{""v"":2,""q"":""videos of Ravi dancing at Goa"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""person_ref"",""F4""],[""term"",""dancing"",""semantic""],[""location"",""Goa""]]}"		category=scenary, semantic=1, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ravi] && [mime type == videos] && [location == Goa] && [semantic == dancing]	[person == ravi] && [mime type == videos] && [location == Goa] && [semantic == dancing]
059	combined	Ramani only photos in Ooty last year	browse; person Ramani; people_only; media photos; location Ooty; last year	1	ACCEPTED	0			category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,time,location, ops=[person == ramani] && [people_only == ramani] && [mime type == photos] && [location == Ooty] && [from_date == 2025-01-01] && [to_date == 2025-12-31]	[person == ramani] && [people_only == ramani] && [mime type == photos] && [location == Ooty] && [from_date == 2025-01-01] && [to_date == 2025-12-31]
060	combined	photos of me and Ramani at BR Hills	browse; self; person Ramani; media photos; location BR Hills	1	VALIDATOR_FAILED	0				
061	combined	sunset videos from Goa after 2023	browse; semantic sunset; media videos; location Goa; date after 2023	1	VALIDATOR_FAILED	0				
062	combined	birthday photos from Bangalore excluding cake	browse; semantic birthday; media photos; location Bangalore; not_term cake	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""birthday photos from Bangalore excluding cake"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Bangalore""],[""term"",""birthday"",""semantic""],[""not_term"",""cake"",""all""]]}"		
063	combined	photos at Goa excluding beach	browse; media photos; location Goa; not_term beach	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos at Goa excluding beach"",""intent"":""browse"",""ops"":[[""location"",""Goa""],[""not_term"",""beach""]]}"	"{""v"":2,""q"":""photos at Goa excluding beach"",""intent"":""browse"",""ops"":[[""location"",""Goa""],[""not_term"",""beach""]]}"		
064	combined	family trip videos past 6 months	browse; family content; travel outside_normal; media videos; past 6 months	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""family trip videos past 6 months"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""travel"",""outside_normal""],[""relative_date"",""last"",""6"",""months""]]}"	"{""v"":2,""q"":""family trip videos past 6 months"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""travel"",""outside_normal""],[""relative_date"",""last"",""6"",""months""]]}"		
065	combined	latest photos of Ramani	browse; media photos; person Ramani; sort newest	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""latest photos of Ramani"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""person_face_refs"",""F14""],[""sort"",""newest""]]}"	"{""v"":2,""q"":""latest photos of Ramani"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""person_face_refs"",""F14""],[""sort"",""newest""]]}"		
066	combined	oldest videos from Kerala	browse; media videos; location Kerala; sort oldest	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == videos] && [location == Kerala] SORT_OLDEST	[mime type == videos] && [location == Kerala] SORT_OLDEST
067	combined	red car photos before 2025	browse; semantic red car; media photos; date before 2025	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""red car photos before 2025"",""intent"":""browse"",""ops"":[[""term"",""red car"",""semantic+all""],[""relative_date"",""before"",""2025""]]}"	"{""v"":2,""q"":""red car photos before 2025"",""intent"":""browse"",""ops"":[[""term"",""red car"",""semantic+all""],[""relative_date"",""before"",""2025""]]}"		
068	combined	dogs running on beach this week	browse; semantic dogs running on beach; this week	1	ACCEPTED	0	"{""v"":2,""q"":""dogs running on beach this week"",""intent"":""browse"",""ops"":[[""term"",""dogs running on beach"",""semantic""],[""calendar_period"",""this"",""week""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[from_date == 2026-08-24] && [to_date == 2026-08-25] && [semantic == dogs running on beach]	[from_date == 2026-08-24] && [to_date == 2026-08-25] && [semantic == dogs running on beach]
069	combined	me alone at home yesterday	browse; self; people_only; location home; yesterday	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""me alone at home yesterday"",""intent"":""browse"",""ops"":[[""self"",""location"",""home""],[""calendar_date_date"",""yesterday""]]}"	"{""v"":2,""q"":""me alone at home yesterday"",""intent"":""browse"",""ops"":[[""self"",""location"",""home""],[""calendar_date_date"",""yesterday""]]}"		
070	combined	photos of Ravi without Ramani in Mysore	browse; media photos; person Ravi; not_person Ramani; location Mysore	1	VALIDATOR_FAILED	1	"{""v"":2,""q"":""photos of Ravi without Ramani in Mysore"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""not_person_ref"",""F14""],[""location"",""Mysore""]]}"	"{""v"":2,""q"":""photos of Ravi without Ramani in Mysore"",""intent"":""browse"",""ops"":[[""person_ref"",""F4""],[""not_person_ref"",""F14""],[""location"",""Mysore""]]}"		
071	combined	vacation pictures except mountains	browse; media photos; travel outside_normal; not_term mountains	1	VALIDATOR_FAILED	1		"{""v"":2,""q"":""vacation pictures except mountains"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""not_term"",""mountains""]]}"		
072	combined	night city videos in Delhi last month	browse; media videos; semantic night city; location Delhi; last month	1	ACCEPTED	1		"{""v"":2,""q"":""night city videos Delhi last month"",""intent"":""browse"",""ops"":[[""media"",""videos""],[""location"",""Delhi""],[""relative_date"",""last"",""month""]]}"	category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time,location, ops=[mime type == videos] && [location == Delhi] && [from_date == 2026-07-01] && [to_date == 2026-07-31]	[mime type == videos] && [location == Delhi] && [from_date == 2026-07-01] && [to_date == 2026-07-31]
073	combined	receipts photographed this year	browse; receipt photo content; this year	1	ACCEPTED	0	"{""v"":2,""q"":""receipts photographed this year"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""receipts"",""semantic+all""],[""relative_date"",""this_year""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[mime type == photos] && [from_date == 2026-01-01] && [to_date == 2026-08-25] && [semantic == receipts] && [keyword == {receipts}]	[mime type == photos] && [from_date == 2026-01-01] && [to_date == 2026-08-25] && [semantic == receipts] && [keyword == {receipts}]
074	combined	screenshots containing payment failed	browse; screenshot scope; mandatory written payment failed content	1	ACCEPTED	0	"{""v"":2,""q"":""screenshots containing payment failed"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""screenshot"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == screenshot] && [keyword == {screenshot}]	[mime type == photos] && [semantic == screenshot] && [keyword == {screenshot}]
075	combined	photos with text happy birthday	browse; media photos; mandatory written happy birthday content	1	ACCEPTED	1		"{""v"":2,""q"":""photos with text happy birthday"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""term"",""text"",""semantic+all""],[""term"",""happy birthday"",""semantic""]]}"	category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == happy birthday]	[mime type == photos] && [semantic == happy birthday]
076	ambiguous	Goa	browse; location Goa; no invented media or person	1	ACCEPTED	1		"{""v"":2,""q"":""Goa"",""intent"":""answer:text""}"	category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[location == Goa]	[location == Goa]
077	ambiguous	rain	browse; semantic rain; no location	2	ACCEPTED	0			category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == rain]	[semantic == rain]
078	ambiguous	last summer	browse; temporal summer intent retained conservatively; no invented exact event	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=time, ops=[from_date == 2026-01-01] && [to_date == 2026-08-25]	[from_date == 2026-01-01] && [to_date == 2026-08-25]
079	ambiguous	recent photos	browse; media photos; sort newest	1	VALIDATOR_FAILED	0				
080	ambiguous	pics from there	browse; media photos; preserve unresolved there without invented location	1	ACCEPTED	0	"{""v"":2,""q"":""pics from there"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""there""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == there]	[mime type == photos] && [location == there]
081	ambiguous	birthday	browse; semantic birthday	2	ACCEPTED	1		"{""v"":2,""q"":""birthday"",""intent"":""answer:text"",""ops"":[[""term"",""birthday"",""semantic+all""]]}"	category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == birthday]	[semantic == birthday]
082	ambiguous	travel memories	browse; travel outside_normal or equivalent travel semantic	1	ACCEPTED	1		"{""v"":2,""q"":""travel memories"",""intent"":""browse"",""ops"":[[""term"",""travel memories"",""semantic+all""]]}"	category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=true, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [travel == outside_normal] SORT_DATE	[mime type == photos] && [travel == outside_normal] SORT_DATE
083	ambiguous	camera shots	browse; media photos; no invented content	1	VALIDATOR_FAILED	0				
084	ambiguous	that blue thing	browse; semantic blue thing; no previous context	1	ACCEPTED	0	"{""v"":2,""q"":""that blue thing"",""intent"":""browse"",""ops"":[[""term"",""blue"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == blue]	[semantic == blue]
085	ambiguous	photos around home	browse; media photos; location home	1	ACCEPTED	0			category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == home]	[mime type == photos] && [location == home]
086	ambiguous	Bangalore or Mysore photos	browse; media photos; both alternative locations preserved	1	VALIDATOR_FAILED	0				
087	ambiguous	photos not in Goa	browse; media photos; negative Goa constraint preserved	1	ACCEPTED	0	"{""v"":2,""q"":""photos not in Goa"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""Goa""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == Goa]	[mime type == photos] && [location == Goa]
088	ambiguous	beach but not sunset photos	browse; media photos; semantic beach; not_term sunset	2	VALIDATOR_FAILED	1		"{""v"":2,""q"":""beach but not sunset photos"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""not_term"",""sunset"",""all""]]}"		
089	ambiguous	Ramani maybe at Goa	browse; person Ramani; location Goa preserved without extra certainty	1	ACCEPTED	0			category=scenary, semantic=0, people=1, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=people,location, ops=[person == ramani] && [location == Goa]	[person == ramani] && [location == Goa]
090	ambiguous	photos from around 2024	browse; media photos; approximate 2024 temporal intent retained conservatively	1	VALIDATOR_FAILED	0				
091	typo	sunset picturs	browse; correct pictures; media photos; semantic sunset	1	ACCEPTED	0			category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos] && [semantic == sunset]	[mime type == photos] && [semantic == sunset]
